[ 2024-12-25 15:23:34,418 ] 19 root - INFO - Initiate the data ingestion
[ 2024-12-25 15:23:41,543 ] 65 root - INFO - Performed train test split on the dataframe
[ 2024-12-25 15:23:41,543 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-12-25 15:23:41,543 ] 75 root - INFO - Exporting train and test file path.
[ 2024-12-25 15:23:41,595 ] 84 root - INFO - Exported train and test file path.
[ 2024-12-25 15:23:41,596 ] 21 root - INFO - Data Initiation Completed
[ 2024-12-25 15:23:41,612 ] 26 root - INFO - Initiate the data Validation
[ 2024-12-25 15:23:41,670 ] 32 root - INFO - Required number of columns:2
[ 2024-12-25 15:23:41,670 ] 33 root - INFO - Data frame has columns:31
[ 2024-12-25 15:23:41,670 ] 32 root - INFO - Required number of columns:2
[ 2024-12-25 15:23:41,670 ] 33 root - INFO - Data frame has columns:31
[ 2024-12-25 15:23:41,796 ] 28 root - INFO - data Validation Completed
[ 2024-12-25 15:23:41,797 ] 32 root - INFO - data Transformation started
[ 2024-12-25 15:23:41,797 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2024-12-25 15:23:41,797 ] 65 root - INFO - Starting data transformation
[ 2024-12-25 15:23:41,818 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2024-12-25 15:23:41,818 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-12-25 15:23:41,831 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-25 15:23:41,833 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-25 15:23:41,834 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-25 15:23:41,837 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-25 15:23:41,839 ] 36 root - INFO - data Transformation completed
